date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:01	367/367	---MCZ	200	added ('OK')	text/plain	date:Thu,%2023%20Dec%202021%2000:50:08%20GMT	https://www.agf.com/robots.txt		(from )
22:46:02	3640/3640	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Mar%202022%2004:46:01%20GMT	https://www.agf.com/	/Users/anirbanbanerjee/websites/agf/www.agf.com/index.html	(from )
22:46:04	149103/149103	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Mar%202022%2004:46:02%20GMT	https://www.agf.com/ca/en/index.jsp	/Users/anirbanbanerjee/websites/agf/www.agf.com/ca/en/index.html	(from https://www.agf.com/)
22:46:04	129800/129800	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Mar%202022%2004:46:03%20GMT	https://www.agf.com/us/index.jsp	/Users/anirbanbanerjee/websites/agf/www.agf.com/us/index.html	(from https://www.agf.com/)
22:46:04	9978/9978	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Mar%202022%2004:46:04%20GMT	https://www.agf.com/GET	/Users/anirbanbanerjee/websites/agf/www.agf.com/GET.2.delayed	(from https://www.agf.com/)
22:46:06	97352/97352	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Mar%202022%2004:46:05%20GMT	https://www.agf.com/institutional/index.jsp	/Users/anirbanbanerjee/websites/agf/www.agf.com/institutional/index.html	(from https://www.agf.com/)
22:46:06	734/734	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Mar%202022%2021:16:49%20GMT	https://www.agf.com/_files/images/sitewide/favicon.png	/Users/anirbanbanerjee/websites/agf/www.agf.com/_files/images/sitewide/favicon.png	(from https://www.agf.com/ca/en/index.jsp)
22:46:08	1627362/1627362	---MCZ	200	added ('OK')	text/css	date:Fri,%2014%20Jan%202022%2018:01:20%20GMT	https://www.agf.com/_files/css/app.css?version=1	/Users/anirbanbanerjee/websites/agf/www.agf.com/_files/css/appe42d.css	(from https://www.agf.com/ca/en/index.jsp)
22:46:09	9350/9350	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Dec%202021%2019:15:46%20GMT	https://www.agf.com/_files/js/gdpr.js	/Users/anirbanbanerjee/websites/agf/www.agf.com/_files/js/gdpr.js	(from https://www.agf.com/ca/en/index.jsp)
22:46:10	24957/24957	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2022%20Dec%202021%2019:21:05%20GMT	https://www.agf.com/_files/images/sitewide/svg-icons-map.svg	/Users/anirbanbanerjee/websites/agf/www.agf.com/_files/images/sitewide/svg-icons-map.svg	(from https://www.agf.com/ca/en/index.jsp)
22:46:11	190463/190463	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Mar%202022%2004:46:10%20GMT	https://www.agf.com/ca/en/advisors/index.jsp	/Users/anirbanbanerjee/websites/agf/www.agf.com/ca/en/advisors/index.html	(from https://www.agf.com/ca/en/index.jsp)
22:46:12	193/193	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Mar%202022%2004:46:11%20GMT	https://www.agf.com/ca/en/_url/internal/groups-admin-en.jsp	/Users/anirbanbanerjee/websites/agf/www.agf.com/ca/en/_url/internal/groups-admin-en.html	(from https://www.agf.com/ca/en/index.jsp)
22:46:13	151262/151262	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Mar%202022%2004:46:12%20GMT	https://www.agf.com/ca/fr/index.jsp	/Users/anirbanbanerjee/websites/agf/www.agf.com/ca/fr/index.html	(from https://www.agf.com/ca/en/index.jsp)
22:46:13	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2004%20Mar%202022%2004:46:13%20GMT	https://www.agf.com/t2scr/static/postLoginRedirect.action?lang=en	/Users/anirbanbanerjee/websites/agf/www.agf.com/t2scr/static/postLoginRedirect9ed2.action	(from https://www.agf.com/ca/en/index.jsp)
22:46:14	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2004%20Mar%202022%2004:46:14%20GMT	https://www.agf.com/ssoproxy/lang?target=%2Ft2scr%2Fstatic%2FpostLoginRedirect.action%3Flang%3Den&ctx=/t2scr/static&lang=en	/Users/anirbanbanerjee/websites/agf/www.agf.com/ssoproxy/lang1b0c	(from https://www.agf.com/ca/en/index.jsp)
22:46:16	136831/136831	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Mar%202022%2004:46:15%20GMT	https://www.agf.com/ca/en/newsroom/index.jsp	/Users/anirbanbanerjee/websites/agf/www.agf.com/ca/en/newsroom/index.html	(from https://www.agf.com/ca/en/index.jsp)
22:46:16	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2004%20Mar%202022%2004:46:15%20GMT	https://www.agf.com/ssoproxy/?target=%2Ft2scr%2Fstatic%2FpostLoginRedirect.action%3Flang%3Den&ctx=/t2scr/static&lang=en	/Users/anirbanbanerjee/websites/agf/www.agf.com/ssoproxy/index1b0c.html	(from https://www.agf.com/ca/en/index.jsp)
